Noob:
Нил;самая длинная река
Тибр;река в Италии
По;река в Италии
Рейн;река в Европе
Эльба;река в Германии
Сена;река во Франции
Луара;река во Франции
Гвадалквивир;река в Испании
Тахо;река в Испании и Португалии
Муррей;река в Австралии
Дарлинг;река в Австралии
Окаванго;река в Африке, дельта
Шпрее;река в Германии, Берлин
Хуанхэ;Желтая река
Янцзы;голубая река, Китай
Меконг;река в Юго-Восточной Азии
Амударья;река в Средней Азии
Сырдарья;река в Средней Азии
Титикака;озеро в Андах
Верхнее_озеро;озеро в Северной Америке
Виктория;озеро в Африке
Гурон;озеро в Северной Америке
Мичиган;озеро в Северной Америке
Танганьика;озеро в Африке
Ньяса;озеро в Африке
Эри;озеро в Северной Америке
Онтарио;озеро в Северной Америке
Баффинова_Земля;остров в Канаде
Новая_Гвинея;второй по величине остров
Калимантан;Борнео, третий по величине остров
Сулавеси;остров в Индонезии
Новая_Зеландия;островное государство
Тасмания;остров у Австралии
Огненная_Земля;архипелаг на юге Южной Америки
Скандинавский_полуостров;полуостров в Северной Европе
Кольский_полуостров;полуостров на севере России
Пиренейский_полуостров;полуостров с Испанией и Португалией
Балканский_полуостров;полуостров в Южной Европе
Малайский_архипелаг;крупнейший архипелаг
Филиппинские_острова;архипелаг в Тихом океане
Курильские_острова;архипелаг в России
Алеутские_острова;архипелаг у Аляски
Багамские_острова;архипелаг в Атлантике

Hard:
Амазонская_низменность;крупнейшая равнина
Западно-Сибирская_равнина;крупнейшая равнина России
Восточно-Европейская_равнина;равнина в Европе
Среднесибирское_плоскогорье;плоскогорье в Сибири
Плоскогорье_Декан;плоскогорье в Индии
Бразильское_плоскогорье;плоскогорье в Бразилии
Гвианское_плоскогорье;плоскогорье в Южной Америке
Восточно-Африканское_плоскогорье;плоскогорье в Африке
Аравийский_полуостров;полуостров на Ближнем Востоке
Индостан;полуостров в Южной Азии
Лабрадор;полуостров в Канаде
Юкатан;полуостров в Мексике
Сомали;полуостров в Африке
Камчатка;полуостров в России
Таймыр;полуостров в России
Чукотка;полуостров в России
Корякия;полуостров в России
Алтай;горная система
Памир;горная система
Каракорум;горная система
Гиндукуш;горная система
Атлас;горы в Африке
Драконовы_горы;горы в Южной Африке
Большой_Водораздельный_хребет;горы в Австралии
Скалистые_горы;горы в Северной Америке
Бенгальский_залив;залив в Индийском океане
Мексиканский_залив;залив у Северной Америки
Гвинейский_залив;залив у Западной Африки
Персидский_залив;залив на Ближнем Востоке
Гудзонов_залив;залив в Канаде
Баб-эль-Мандебский_пролив;пролив у Аравии
Босфор;пролив в Турции
Дарданеллы;пролив в Турции
Гибралтар;пролив между Европой и Африкой
Магелланов_пролив;пролив в Южной Америке
Дрейка_пролив;пролив у Антарктиды
Берингов_пролив;пролив между материками
Мозамбикский_пролив;пролив у Африки
Зондский_пролив;пролив в Индонезии
Курило-Камчатский_желоб;впадина в Тихом океане
Марианский_желоб;глубочайшая впадина
Пуэрто-Риканский_желоб;впадина в Атлантике
Желоб_Тонга;впадина в Тихом океане
Филиппинский_желоб;впадина в Тихом океане
Кайманова_впадина;впадина в Карибском море
Котловина_Канадская;впадина в Северном Ледовитом океане
Хребет_Ломоносова;подводный хребет
Море_Уэдделла;море у Антарктиды
Море_Скоша;море у Антарктиды
Море_Сомова;море у Антарктиды
Море_Росса;море у Антарктиды

Pain:
Ла-Платская_низменность;низменность в Южной Америке
Оринокская_низменность;низменность в Южной Америке
Центральноафриканская_равнина;равнина в Африке
Возвышенность_Мансо;возвышенность в Африке
Плато_Путорана;плато в Сибири
Плато_Тибет;высокое нагорье
Копетдаг;горы в Туркменистане
Трансантарктические_горы;горы в Антарктиде
Мальдивский_риф;коралловый архипелаг
Перуанско-Чилийский_желоб;впадина у Южной Америки
Впадина_Бентли;подлёдная впадина в Антарктиде
Котловина_Нансена;котловина в Северном Ледовитом океане
Хребет_Менделеева;подводный хребет
Алеутский_хребет;подводный хребет
Антарктический_полуостров;полуостров в Антарктиде
Земля_Королевы_Мод;земля в Антарктиде
Земля_Уилкса;земля в Антарктиде
Земля_Виктории;земля в Антарктиде
Море_Лаптевых;море в Арктике
Восточно-Сибирское_море;море в Арктике
Море_Банда;море в Индонезии
Море_Сулавеси;море в Индонезии
Море_Фиджи;море в Тихом океане
Море_Амундсена;море у Антарктиды
Море_Беллинсгаузена;море у Антарктиды
Озеро_Эйр;озеро в Австралии
Озеро_Чад;озеро в Африке
Озеро_Маракайбо;озеро-лагуна в Венесуэле
Озеро_Никарагуа;озеро в Центральной Америке
Озеро_Тоба;озеро в Индонезии

Impossible:
Эфиопское_нагорье;нагорье в Африке
Нагорье_Ахаггар;нагорье в Сахаре
Тибетское_нагорье;высокое нагорье в Азии
Плато_Колорадо;плато в США
Плато_Колумбия;плато в США
Возвышенность_Дарлинг;возвышенность в Австралии
Горы_Макдоннелл;горы в Австралии
Горы_Масгрейв;горы в Австралии
Хребет_Святого_Ильи;горы в Северной Америке
Хребет_Брукса;горы на Аляске
Трансгималаи;горы в Азии
Памирское_нагорье;нагорье в Азии
Сулеймановы_горы;горы в Пакистане
Загрос;горы в Иране
Тавр;горы в Турции
Антитавр;горы в Турции
Понтийские_горы;горы в Турции
Стара-Планина;горы в Болгарии
Динарское_нагорье;нагорье в Европе
Кантабрийские_горы;горы в Испании
Джугджурский_хребет;хребет в России
Срединный_хребет;хребет на Камчатке
Верхоянский_хребет;хребет в Сибири
Хребет_Черского;хребет в Сибири
Сихотэ-Алинь;хребет на Дальнем Востоке
Становой_хребет;хребет в Сибири
Яблоновый_хребет;хребет в Забайкалье
Туранская_низменность;низменность в Средней Азии
Северо-Сибирская_низменность;низменность в России
Колымская_низменность;низменность в России
