Noob:
кот;домашний питомец, мурлыкает
сулавесский_медвежий_кускус;сумчатое с цепким хвостом
перьехвостый_поссум;планирующее сумчатое
шерстохвостый_вомбат;австралийский роющий
золотистая_щурка;яркая птица, ест пчел
охристый_длинноклювый_крапивник;птица с изогнутым клювом
красноклювая_альциона;зимородок, рыбоед
сетчатый_питон;очень длинная змея
тигровый_питон;тяжелый удав
командорский_ремнезуб;зубатый кит
клюворыл_Жерве;глубоководный ныряльщик
карликовый_кашалот;маленький кашалот
серый_дельфин;быстрый пловец
гринда_короткоплавниковая;черный дельфин
инии;амазонский дельфин
амазонский_дельфин;розовый речной дельфин
андская_кошка;дикая кошка гор
кошка_Жоффруа;пятнистый охотник
чилийская_кошка;маленькая лесная кошка
ржавая_кошка;самая маленькая дикая кошка
мраморная_кошка;древесная, похожа на дымчатого леопарда
черноногая_кошка;африканский мелкий хищник
калимантанская_кошка;редкая дикая кошка
золотистая_кошка;африканская лесная кошка
слепун;червеобразная ящерица
слепозмейка;похожа на червя
соссюра;летучая мышь-нетопырь
крылан;летучая мышь-фруктоед
подковонос;летучая мышь с кожным выростом
вечерница;крупная летучая мышь
нетопырь;маленькая летучая мышь
кожан;обычная летучая мышь

Pain:
листонос_большой;летучая мышь с листовидным носом
подковонос_малый;маленький нос-подкова
нетопырь_карлик;крошечная летучая мышь
вечерница_гигантская;крупная рыжая летучая мышь
ночница_прудовая;охотится над водой
ночница_натерре;редкий вид ночниц
кожан_двухцветный;двухцветный мех
ушан_бурый;большие уши
трубконос_большой;нос в виде трубок
свиноносая_летучая_мышь;самое маленькое млекопитающее
мышехвост_Хардвика;короткохвостая летучая мышь
складчатогуб_бразильский;мигрирующая летучая мышь
бульдоговая_летучая_мышь;охотится на рыбу
мормоопс_большой;причудливая морда
мадагаскарский_присосконог;с присосками на лапах
новозеландский_футлярокрыл;прячет крылья
балионий;карликовый кашалот
баленопс;гладкий кит
южный_кит;кит с мозолями
ремнезуб_Тру;редкий зубатый кит
ла_платский_дельфин;дельфин эстуария
озерный_дельфин;пресноводный слепой дельфин
калимантанский_бенгальский_кот;дикая кошка острова
суматранская_кошка;болотная дикая кошка
седой_древесный_кенгуру;кенгуру на дереве
желтоногий_скальный_валлаби;прыгает по скалам
полосатый_кускус;полосатое сумчатое
шерстохвостый_поссум;цепкий хвост
полутушканчик_ЖевроЕ;пустынный прыгун
песчаный_геккон_Петри;мастер камуфляжа

Impossible:
эмпуса_полосатая;вид богомола
листохвостый_геккон;мастер маскировки под лист
слепун_обыкновенный;безногая ящерица
слепозмейка_брамина;слепая змейка
королевская_кобра;самая длинная ядовитая змея
рыбоядная_ночница;летучая мышь-рыболов
гладконос_Брандта;насекомоядная летучая мышь
северный_китовидный_дельфин;дельфин, похожий на кита
южный_китовидный_дельфин;южный сородич
клюворыл_Тру;глубоководный кит
карликовый_клюворыл;маленький клюворыл
командорский_ремнезуб_Стейнегера;арктический зубатый кит
полосатый_долгопят;полосатый примат
толстоклювая_поганка;водоплавающая птица
золотистобрюхая_султанка;водная птица, ходит по лилиям
серёжчатый_жаворонок;птица с украшениями
длиннохвостая_синица;птичка-синичка с длинным хвостом
огненноголовый_краснохохлый_барабанщик;яркая тропическая птица
чешуйчатый_медоед;птица-проводник к меду
полосатый_тенарек;мадагаскарский щетинистый еж
мадагаскарская_руконожка;примат с длинным пальцем
золотистая_плоскохвостая_черепаха;пресноводная, с золотым брюшком
гребнепалая_ящерица_Шрейбера;ящерица с гребнем на пальцах
средиземноморская_черепаха;сухопутная черепаха
кинкажу;медведь-енот, хвост-цепка
онихофор;бархатный червь
гигантская_сколопендра;крупная многоножка
гигантский_муравьед;большой язык, когти
гигантский_броненосец;крупный панцирный зверь
гигантский_летучий_кускус;большой планирующий поссум
