Noob:
роза;цветок с шипами
фасоль;бобовая культура
кукуруза;злак, початки
пшеница;злак, мука

Medium:
эдельвейс;горный цветок
люпин;свечеобразные соцветия
дельфиниум;высокие свечи соцветий
гладиолус;цветок-меч
нарцисс;весенний цветок
тюльпан;луковичный цветок
крокус;первоцвет
гиацинт;душистый весенний цветок
лилия;благородный цветок
орхидея;экзотический цветок
ландыш;лесной цветок, колокольчики
подснежник;первый весенний цветок
примула;первоцвет
пеларгония;комнатная герань
бегония;декоративные листья
фуксия;цветок-фонарик
гортензия;крупные соцветия-шары
азалия;цветущий кустарник
рододендрон;вечнозеленый кустарник
магнолия;дерево с крупными цветами
сакура;японская вишня
глициния;лиана, сиреневые кисти
камелия;восковые цветы
лавр;пряность, венок
мирт;ароматный кустарник
олеандр;ядовитый кустарник
пальма;дерево с веерными листьями
фикус;комнатное растение
монстера;крупные резные листья
диффенбахия;комнатное растение, ядовитый сок
юкка;растение с мечевидными листьями
драцена;ложная пальма
сансевиерия;тещин язык
алоэ;лекарственное растение
каланхоэ;лекарственное растение
кактус;колючее растение
молочай;растение с млечным соком
кипарис;хвойное дерево, пирамидальная форма
туя;хвойный кустарник
самшит;вечнозеленый кустарник
падуб;остролист, красные ягоды
плющ;вьющееся растение
хмель;вьющееся растение, шишки
виноград;лиана, ягоды
лимонник;лиана, тонизирующие ягоды
женьшень;корень жизни
имбирь;пряный корень
куркума;желтая пряность
корица;пряность из коры
ваниль;ароматная пряность

Hard:
секвойя;гигантское дерево
бамбук;самое быстрорастущее растение
эвкалипт;дерево, ароматные листья
манго;тропический фрукт
папайя;тропический фрукт
авокадо;маслянистый фрукт
пекан;орех, похож на грецкий
макадамия;король орехов
фисташка;зеленый орех
кешью;орех в форме почки
инжир;винная ягода, смоква
гранат;фрукт с зернами
хурма;оранжевый фрукт, вяжет
фейхоа;зеленый тропический фрукт
киви;мохнатый фрукт
ананас;тропический фрукт
мангостан;тропический фрукт, королева фруктов
рамбутан;волосатый фрукт
питахайя;драконий фрукт
карамбола;звездчатый фрукт
кумкват;маленький апельсин
помело;крупный цитрус
танжерин;разновидность мандарина
бергамот;ароматный цитрус
зверобой;лекарственная трава
бессмертник;сухоцвет
валериана;успокаивающее растение
пустырник;сердечная трава
чистотел;лекарственное растение, оранжевый сок
полынь;горькая трава
пижма;желтые соцветия-пуговицы
кровохлебка;лекарственное растение
лапчатка;лекарственное растение
манжетка;трава, скрученные листья
герань;садовая герань
медуница;лесной цветок, меняет цвет
ветреница;лесной цветок, анемона
купальница;желтый лесной цветок
волчеягодник;ядовитый кустарник
вороний_глаз;ядовитое растение, четыре листа
ландыш;лесной цветок, ядовит
купена;лесное растение, соломонова печать
венерин_башмачок;орхидея северных лесов
ясенец;неопалимая купина
бадан;растение с крупными листьями
роджерсия;декоративное растение, крупные листья
астильба;теневыносливое растение, пушистые метелки
хостa;декоративно-лиственное растение
бузульник;садное растение, желтые свечи

Pain:
гинкго_билоба;живое ископаемое, веерные листья
вельвичия;пустынное растение, два листа
аморфофаллус;трупный цветок
раффлезия;гигантский цветок-паразит
непентес;насекомоядное растение, кувшинчик
саррацения;насекомоядное растение, кувшинчик
дионея;насекомоядное растение
венерина_мухоловка;насекомоядное растение
стапелия;суккулент, пахнет падалью
литопс;живой камень
конофитум;суккулент, живой камень
фенестрария;суккулент, световые окна
хойя;восковой плющ
стефанотис;мадагаскарский жасмин
алламанда;вьющееся растение, золотой трубы
мандевилла;вьющееся растение
плюмерия;франжипани, тропический цветок
кариота;пальма, рыбий хвост
хамедорея;бамбуковая пальма
цикас;саговая пальма
замиокулькас;долларовое дерево
нолина;бутылочное дерево
бокарнея;слоновья нога
крассула;денежное дерево
эхеверия;каменная роза
седум;очиток
молодило;каменная роза
очиток;почвопокровное растение
гастерия;суккулент, язык
хавортия;суккулент, полосатые листья

Impossible:
ксанторрея;древовидная трава
диоскорея;ямс, лекарственное растение
батат;сладкий картофель
топинамбур;земляная груша
скополия;ядовитое растение, пасленовые
беладонна;красавка, ядовитое растение
аконит;борец, ядовитое растение
цикута;ядовитый вех
наперстянка;дигиталис, ядовитое растение
безвременник;ядовитое растение, осенний цветок
клопогон;цимицифуга, лекарственное растение
цимицифуга;клопогон, лекарственное растение
лаконос;фитолакка, ядовитое растение
фитолакка;лаконос, ядовитое растение
гледичия;колючее дерево
цезальпиния;дерево, орхидеевое
пахиподиум;толстостебельное растение
адениум;пустынная роза
пахира;денежное дерево
брахихитон;дерево с бутылкообразным стволом
квиллайя;мыльное дерево
гребенщик;тамариск, кустарник
тамариск;солевыносливый кустарник
солянка;солевыносливое растение
сарсазан;солевыносливый кустарник
кандык;собачий зуб, луковичное растение
эритрониум;кандык, луковичное растение
рябчик;фритиллярия, луковичное растение
фритиллярия;рябчик, луковичное растение
