Noob:
атом;мельчайшая частица
ассимиляция;усвоение веществ
диссимиляция;распад веществ
гликолиз;расщепление глюкозы
цикл_Кребса;клеточное дыхание
хемосинтез;синтез без света
фотосистема;фотосинтез, световая фаза
онтогенез;индивидуальное развитие
филогенез;эволюционное развитие
аллостерическая_регуляция;регуляция ферментов
апоптоз;запрограммированная смерть клетки
нейротрансмиттер;передатчик импульса
синапс;место контакта нейронов
компиляция;преобразование кода
инжекция_кода;внедрение кода
рефакторинг;улучшение кода
дебаггинг;поиск ошибок
декомпиляция;обратное преобразование кода
кроссплатформенность;работа на разных системах
многопоточность;параллельное выполнение
рекурсия;функция, вызывающая себя
хэширование;преобразование в уникальный код
асинхронное_программирование;неблокирующее выполнение
обфускация;затруднение понимания кода
виртуализация;создание виртуальной среды
контейнеризация;изоляция приложений
микросервисная_архитектура;разделение на сервисы
машинное_обучение;обучение компьютера
нейронная_сеть;модель мозга
компьютерное_зрение;распознавание изображений

Pain:
топологический_изолятор;проводит по поверхности
квантовая_запутанность;связь частиц
квантовый_компьютер;вычисления на кубитах
спинтроника;электроника спина
плазмоника;оптика поверхностных волн
метаматериал;искусственная структура
нанокатализ;катализ наночастицами
эпитaксия;рост кристаллов
крионика;сохранение при низких температурах
суперконтинуум;широкий спектр
фемтосекундный_лазер;очень короткие импульсы
трансмутация;превращение элементов
электродный_потенциал;напряжение полуэлемента
хемиосмотическая_теория;синтез АТФ
аллостерический_ингибитор;блокирует фермент
антикодон;узнает кодон
эндогенный_ретровирус;вирус в геноме
эпигенетическое_наследование;наследование без изменения ДНК
митохондриальная_ДНК;ДНК в митохондриях
рибозим;каталитическая РНК
циркадные_ритмы;биологические часы
квантовая_биология;квантовые эффекты в биологии
топологический_дефект;нарушение упорядоченности
спонтанное_нарушение_симметрии;самопроизвольное нарушение
калибровочная_инвариантность;свойство полей
редукция_волновой_функции;коллапс при измерении
квантовая_телепортация;передача состояния
криптография_на_эллиптических_кривых;защита информации
теория_гомотопий;топология, преобразования
топос;категория в математике

Impossible:
полиномиальная_аппроксимация;приближение полиномом
стохастический_резонанс;усиление шумом
квантовая_гравитация;объединение теорий
петлевая_квантовая_гравитация;теория пространства-времени
теория_струн;вибрирующие струны
М-теория;обобщение струн
многомерное_скейлинг;статистический метод
неравновесная_термодинамика;термодинамика открытых систем
диссипативная_структура;самоорганизация
аутопоэз;самосоздание
хемотaксис;движение к химическому веществу
фототаксис;движение к свету
квантовый_шум;флуктуации в квантовой системе
декогеренция;потеря когерентности
квантовый_алгоритм_Шора;разложение на множители
квантовый_алгоритм_Гровера;поиск в базе данных
топологический_квантовый_компьютер;устойчивый к шуму
магнитный_монополь;гипотетическая частица
аксион;гипотетическая частица
активация_металлорганических_катализаторов;повышение активности
асимметричный_синтез;стереоселективный синтез
комбинаторная_химия;синтез множества соединений
супрамолекулярная_химия;химия сверхмолекул
криоэлектронная_микроскопия_высокого_разрешения;атомное разрешение
крио-ПЭМ;электронная микроскопия при низких температурах
томография_замораживающего_скалывания;изучение ультраструктуры
микроскопия_сверхвысокого_разрешения;преодоление дифракционного предела
ДНК-оригами;сборка наноструктур
молекулярные_шаттлы;перемещающиеся молекулы
ротаксаны;механически сцепленные молекулы
