Noob:
Москва;столица России, Кремль
Брест;крепость-герой
Гродно;западная Беларусь, Неман
Вроцлав;город гномиков в Польше
Гданьск;польский порт на Балтике
Краков;древняя столица Польши
Роттердам;крупнейший порт Европы
Гамбург;порт в Германии
Кёльн;город, знаменитый собор
Дрезден;Флоренция на Эльбе
Лиссабон;столица Португалии, на холмах
Сарагоса;город в Испании, Эбро
Неаполь;город в Италии, Везувий
Турин;город в Италии, Туринская плащаница
Флоренция;колыбель Ренессанса
Венеция;город на воде
Афины;колыбель демократии
Дублин;столица Ирландии, Гиннесс
Рейкьявик;самая северная столица
Берн;столица Швейцарии
Женева;Женевское озеро, ООН
Копенгаген;русалочка, Дания
Хельсинки;столица Финляндии
Стокгольм;столица Швеции, архипелаг
Сидней;опера, Австралия
Мельбурн;второй город Австралии
Окленд;крупнейший город Новой Зеландии
Кейптаун;столица, Столовая гора
Тегеран;столица Ирана
Багдад;столица Ирака
Дакка;столица Бангладеш
Ханой;столица Вьетнама

Hard:
Магдебург;город в Германии, Эльба
Лилль;город во Франции, близ Бельгии
Любляна;столица Словении
Нант;город во Франции, Луара
Ольборг;город в Дании
Пльзень;город в Чехии, пиво
Регенсбург;город в Германии, Дунай
Севилья;город в Испании, фламенко
Тирана;столица Албании
Уппсала;город в Швеции, университет
Фрибур;город в Швейцарии
Шеффилд;город в Англии, сталь
Щецин;порт в Польше
Эдинбург;столица Шотландии
Юджин;город в США, Орегон
Яунде;столица Камеруна
Алжир;столица Алжира
Амман;столица Иордании
Анкара;столица Турции
Аккра;столица Ганы
Банги;столица ЦАР
Бейрут;столица Ливана
Габороне;столица Ботсваны
Дакар;столица Сенегала
Кампала;столица Уганды
Катманду;столица Непала
Лусака;столица Замбии
Маскат;столица Омана
Нджамена;столица Чада
Никосия;столица Кипра
Тунис;столица Туниса
Хараре;столица Зимбабве
Асунсьон;столица Парагвая
Гватемала;столица Гватемалы
Кингстон;столица Ямайки
Монтевидео;столица Уругвая
Нассау;столица Багам
Ванкувер;город в Канаде, кинофестиваль
Виннипег;город в Канаде, озера
Калгари;город в Канаде, нефть
Квебек;франкоязычная провинция
Гонолулу;столица Гавайев
Сан-Хосе;город в Калифорнии
Оклахома-Сити;город в США, штат Оклахома
Миннеаполис;город в США, штат Миннесота
Индианаполис;столица Индианы
Нью-Орлеан;джаз, Марди Гра
Сакраменто;столица Калифорнии
Анкоридж;город на Аляске
Портленд;город, штат Орегон

Pain:
Порт-о-Пренс;столица Гаити
Порт-оф-Спейн;столица Тринидада и Тобаго
Сан-Сальвадор;столица Сальвадора
Санто-Доминго;столица Доминиканы
Фритаун;столица Сьерра-Леоне
Монровия;столица Либерии
Порт-Луи;столица Маврикия
Виктория;столица Сейшел
Порт-Вила;столица Вануату
Нукуалофа;столица Тонга
Апиа;столица Самоа
Порт-Морсби;столица Папуа-Новой Гвинеи
Дили;столица Восточного Тимора
Тхимпху;столица Бутана
Мале;столица Мальдив
Эль-Джадида;город в Марокко
Эс-Сувейра;город в Марокко, порт
Уагадугу;столица Буркина-Фасо
Уджда;город в Марокко
Бужумбура;столица Бурунди
Джуба;столица Южного Судана
Абу-Даби;столица ОАЭ
Эр-Рияд;столица Саудовской Аравии
Эль-Кувейт;столица Кувейта
Сан-Хуан;столица Пуэрто-Рико
Бандар-Сери-Бегаван;столица Брунея
Дар-эс-Салам;крупнейший город Танзании
Буркина-Фасо;государство в Африке
Тринидад_и_Тобаго;островное государство

Impossible:
Сент-Винсент_и_Гренадины;островное государство
Антигуа_и_Барбуда;островное государство
Сан-Томе_и_Принсипи;островное государство
Экваториальная_Гвинея;государство в Африке
Гвинея-Бисау;государство в Африке
Папуа_Новая_Гвинея;островное государство
Северная_Македония;балканское государство
Босния_и_Герцеговина;балканское государство
Соломоновы_Острова;островное государство
Маршалловы_Острова;островное государство
Федеративные_Штаты_Микронезии;островное государство
Демократическая_Республика_Конго;государство в Африке
Республика_Конго;государство в Африке
Центральноафриканская_Республика;государство в Африке
Южно-Африканская_Республика;государство в Африке
Доминиканская_Республика;государство в Карибском бассейне
Коста-Рика;государство в Центральной Америке
Новая_Зеландия;островное государство
Северная_Ирландия;часть Великобритании
Шри-Ланка;островное государство
Сьерра-Леоне;государство в Африке
Буркина-Фасо;государство в Африке
Восточный_Тимор;государство в Азии
Гвиана_Французская;заморский департамент Франции
Острова_Зеленого_Мыса;государство Кабо-Верде
Острова_Кука;острова в Тихом океане
Новая_Каледония;заморская территория Франции
Остров_Святой_Елены;заморская территория Великобритании
Остров_Вознесения;заморская территория Великобритании
Тристан-да-Кунья;самый удаленный остров
